id,title,original_language,release_date,budget,revenue,runtime,popularity,vote_average,vote_count,genres_0_name,genres_1_name,genres_2_name,production_companies_0_name,production_companies_1_name,production_companies_2_name,production_countries_0_name,movie_id,actor_1,actor_2,actor_3,profit,roi
9495,The Crow,en,1994-05-11,23000000,93722164.0,102.0,106.119,7.5,4024.0,Fantasy,Action,Thriller,Entertainment Media Investment Corporation,Jeff Most Productions,Pressman Film,United Kingdom,9495,Bai Ling,Tony Todd,David Patrick Kelly,70722164.0,3.074876695652174
10196,The Last Airbender,en,2010-06-30,150000000,319713881.0,103.0,41.98,4.7,3936.0,Action,Adventure,Fantasy,Paramount Pictures,Nickelodeon Movies,Blinding Edge Pictures,United States of America,10196,Dev Patel,Cliff Curtis,Jackson Rathbone,169713881.0,1.1314258733333333
253412,Everest,en,2015-09-10,55000000,203427584.0,121.0,52.961,6.8,4822.0,Adventure,Drama,History,Cross Creek Pictures,Working Title Films,Walden Media,Iceland,253412,Jake Gyllenhaal,Keira Knightley,Mia Goth,148427584.0,2.6986833454545454
27578,The Expendables,en,2010-08-03,80000000,274470394.0,103.0,75.043,6.246,7674.0,Thriller,Adventure,Action,Nimar Studios,Rogue Marble,Millennium Media,Bulgaria,27578,Jason Statham,Sylvester Stallone,Jet Li,194470394.0,2.430879925
324552,John Wick: Chapter 2,en,2017-02-08,40000000,171539887.0,122.0,149.964,7.334,12944.0,Action,Thriller,Crime,Thunder Road,87Eleven,Summit Entertainment,United States of America,324552,Keanu Reeves,Ruby Rose,Laurence Fishburne,131539887.0,3.288497175
168259,Furious 7,en,2015-04-01,190000000,1515400000.0,137.0,80.063,7.2,10543.0,Action,Thriller,Crime,Original Film,One Race,Universal Pictures,United States of America,168259,Jason Statham,Dwayne Johnson,Vin Diesel,1325400000.0,6.975789473684211
475557,Joker,en,2019-10-01,55000000,1078958629.0,122.0,305.292,8.15,25517.0,Crime,Thriller,Drama,Warner Bros. Pictures,Joint Effort,Village Roadshow Pictures,Canada,475557,Robert De Niro,Joaquin Phoenix,Zazie Beetz,1023958629.0,18.617429618181816
406761,Hotel Artemis,en,2018-06-07,15000000,12371132.0,94.0,23.57,6.042,1522.0,Thriller,Science Fiction,Action,The Ink Factory,Marc Platt Productions,Point of No Return,United Kingdom,406761,Dave Bautista,Jeff Goldblum,Sofia Boutella,-2628868.0,-0.17525786666666668
64688,21 Jump Street,en,2012-03-14,42000000,201585328.0,109.0,46.718,6.881,10195.0,Action,Comedy,Crime,Columbia Pictures,Relativity Media,Original Film,United States of America,64688,Johnny Depp,Channing Tatum,Dakota Johnson,159585328.0,3.7996506666666665
1070535,Canceled,sv,2023-08-25,2150000,0.0,97.0,53.129,6.2,12.0,Mystery,Horror,Thriller,Nordisk Film Sweden,Scandinavian Content Group,Lumiverse,Sweden,1070535,Klas Wiljergård,Cecilia Nilsson,Annica Liljeblad,-2150000.0,-1.0
3050,Doctor Dolittle,en,1998-06-26,71000000,294500000.0,85.0,37.468,5.709,3027.0,Comedy,Family,Fantasy,20th Century Fox,Davis Entertainment,Joseph M. Singer Entertainment,United States of America,3050,Oliver Platt,Paul Giamatti,John Leguizamo,223500000.0,3.147887323943662
639720,IF,en,2024-05-08,110000000,186240904.0,104.0,397.216,7.273,958.0,Comedy,Fantasy,Family,Paramount Pictures,Sunday Night Productions,Maximum Effort,United States of America,639720,Ryan Reynolds,Matt Damon,George Clooney,76240904.0,0.6930991272727273
518158,Leprechaun Returns,en,2018-12-11,1500000,0.0,93.0,36.579,6.2,624.0,Horror,Fantasy,Comedy,Lionsgate,Syfy,Studio L,South Africa,518158,Mark Holton,Taylor Spreitler,Sai Bennett,-1500000.0,-1.0
333667,Rock Dog,en,2016-07-08,60000000,23300000.0,90.0,22.791,6.2,287.0,Animation,Adventure,Comedy,Dream Factory Group,Reel FX Creative Studios,Mandoo Pictures,China,333667,J.K. Simmons,Sam Elliott,Mae Whitman,-36700000.0,-0.6116666666666667
514207,Invasion,ru,2020-02-27,8819200,32104054.0,129.0,48.254,6.897,793.0,Science Fiction,Drama,Action,Cinema Foundation of Russia,Art Pictures Studio,Vodorod Film Company,Russia,514207,Irina Starshenbaum,Anton Vasilyev,Alexander Petrov,23284854.0,2.6402456005079826
9705,Swordfish,en,2001-06-08,102000000,147080413.0,99.0,37.519,6.2,2641.0,Action,Crime,Thriller,Village Roadshow Pictures,Silver Pictures,Jonathan Krane Group,Australia,9705,Hugh Jackman,Halle Berry,Drea de Matteo,45080413.0,0.4419648333333333
3176,Battle Royale,ja,2000-12-16,4500000,30600000.0,113.0,49.236,7.3,3348.0,Drama,Thriller,Action,Toei Company,WOWOW,AM Associates,Japan,3176,Aki Maeda,Chiaki Kuriyama,Tatsuya Fujiwara,26100000.0,5.8
15092,Crank: High Voltage,en,2009-04-16,20000000,34600000.0,95.0,41.282,6.072,2794.0,Action,Thriller,Crime,Lionsgate,Lakeshore Entertainment,RadicalMedia,United States of America,15092,Jason Statham,Jenna Haze,Lauren Holly,14600000.0,0.73
676710,The Amazing Maurice,en,2022-12-16,17000000,21110363.0,93.0,37.446,6.779,149.0,Animation,Adventure,Comedy,Ulysses Filmproduktion,Cantilever Media,Narrativia,Belgium,676710,Emilia Clarke,David Thewlis,Gemma Arterton,4110363.0,0.2417860588235294
